T(N.m);N(r/min);Pout(W);U(V);I(A);Pin(W);Eff(%)
0.069;141;1.01;24.56;1.171;28.75;3.5
0.052;141;0.90;24.56;1.149;28.21;3.2
0.028;142;0.85;24.56;1.142;28.04;3.0
0.008;142;0.96;24.56;1.161;28.50;3.2
0.058;142;1.33;24.56;1.207;29.64;4.2
0.124;142;2.06;24.56;1.272;31.24;6.1
0.206;142;3.15;24.55;1.342;32.94;9.0
0.305;142;4.56;24.55;1.406;34.51;12.7
0.420;142;6.25;24.55;1.466;35.99;16.8
0.551;142;8.19;24.54;1.535;37.68;21.1
0.698;142;10.37;24.54;1.623;39.84;25.2
0.860;142;12.78;24.53;1.736;42.58;29.1
1.037;142;15.41;24.53;1.870;45.87;32.7
1.227;142;18.25;24.52;2.024;49.64;36.0
1.431;142;21.29;24.52;2.194;53.80;38.8
1.647;142;24.50;24.51;2.380;58.34;41.4
1.876;142;27.88;24.50;2.581;63.24;43.6
2.115;142;31.41;24.49;2.797;68.52;45.4
2.364;142;35.09;24.48;3.031;74.20;46.9
2.622;142;38.91;24.47;3.282;80.32;48.2
2.888;142;42.88;24.46;3.552;86.91;49.1
3.161;142;46.97;24.45;3.844;94.00;49.8
3.442;142;51.14;24.44;4.159;101.65;50.2
3.728;142;55.39;24.43;4.498;109.88;50.4
4.020;142;59.67;24.41;4.862;118.70;50.3
4.317;141;63.89;24.40;5.247;128.02;50.0
4.618;141;67.97;24.38;5.646;137.66;49.5
4.922;140;71.84;24.37;6.052;147.47;48.8
5.229;138;75.57;24.35;6.460;157.32;48.0
